,,,,,,,,,,,,,,,,,,,,"1,000.00",,,,,,
,No. of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Open,Price,Close,Price,Current,Status,Result,Profit,Selected,Profit Trades,Change,Shares,,Completed trade,Total profit,Profit %,Profit % per month,Winning %
PEP,8,95.79,50.00,2.76,,2023/7/31,,2023/8/23,31/07,187.46,23/08,175.7,167.68,Completed,Profit,58.80,TRUE,TRUE,-11.76,5.00,,,,,,
WAT,12,411.01,50.00,3.89,,2023/7/31,,2023/8/2,31/07,276.21,02/08,274.4,329.74,Completed,Profit,5.43,,TRUE,-1.81,3.00,,,,,,
DIS,10,120.55,30.00,1.66,2023/8/1,,2023/8/2,,01/08,88.89,02/08,89.03,91.02,Completed,Profit,1.54,TRUE,TRUE,0.14,11.00,,,,,,
AMGN,6,163.28,66.67,3.74,,2023/8/2,,2023/8/4,02/08,232.12,04/08,230.7,284.16,Completed,Profit,5.68,,TRUE,-1.42,4.00,,,,,,
BDX,11,240.09,45.46,3.45,,2023/8/2,,2023/8/8,02/08,278.54,08/08,275.22,243,Completed,Profit,9.96,,TRUE,-3.32,3.00,,,,,,
CFG,8,200.98,62.50,3.46,,2023/8/2,,2023/8/29,02/08,31.1,29/08,27.37,33.06,Completed,Profit,119.36,,TRUE,-3.73,32.00,,,,,,
DVN,7,257.38,28.57,3.07,,2023/8/2,,2023/8/18,02/08,53.68,18/08,49.06,45.81,Completed,Profit,83.16,,TRUE,-4.62,18.00,,,,,,
PAYC,12,131.94,33.33,1.55,,2023/8/2,,2023/8/22,02/08,370.78,22/08,283.65,205.6,Completed,Profit,174.26,,TRUE,-87.13,2.00,,,,,,
APD,11,135.88,45.46,2.27,,2023/8/3,,2023/8/14,03/08,299.32,14/08,290.73,272.84,Completed,Profit,25.77,,TRUE,-8.59,3.00,,,,,,
BAC,12,246.07,50.00,2.49,,2023/8/3,,2023/8/7,03/08,31.19,07/08,31.88,33.43,Completed,Loss,(22.08),,FALSE,0.69,32.00,,,,,,
