,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL
173,ETR,.SPX,10.0,123.65,40.0,1.899,False,False,False,False
174,ETSY,.SPX,8.0,-158.77,25.0,0.689,False,False,False,False
175,EVRG,.SPX,11.0,296.91,36.364,3.592,False,False,False,False
176,EW,.SPX,13.0,-48.96,15.385,0.846,False,False,False,False
177,EXC,.NDX.SPX,12.0,23.164,33.333,1.13,False,True,False,False
178,EXPD,.SPX,8.0,-100.17,25.0,0.155,False,False,False,False
179,EXPE,.SPX,9.0,190.02,33.333,1.749,False,False,False,False
180,EXR,.SPX,15.0,257.55,33.333,2.667,False,False,False,False
181,F,.SPX,9.0,-170.37,22.222,0.136,False,False,False,False
182,FANG,.NDX.SPX,11.0,-86.52,45.455,0.83,False,False,False,False
183,FAST,.NDX.SPX,11.0,16.37,36.364,1.075,False,False,False,False
184,FCX,.SPX,5.0,-262.57,0.0,0.0,False,False,False,False
185,FDS,.SPX,13.0,86.91,38.462,1.432,False,False,False,False
186,FDX,.SPX,9.0,31.53,11.111,1.131,False,False,False,False
187,FE,.SPX,14.0,79.98,35.714,1.558,False,True,False,False
188,FFIV,.SPX,9.0,-183.85,22.222,0.228,False,False,False,False
189,FI,.SPX,10.0,-203.71,20.0,0.212,False,False,False,False
190,FICO,.SPX,15.0,189.19,26.667,2.03,False,True,False,False
191,FIS,.SPX,9.0,2.8,22.222,1.023,False,False,False,False
192,FITB,.SPX,9.0,-321.91,11.111,0.008,False,False,False,False
193,FLT,.SPX,9.0,-257.3,11.111,0.034,False,False,False,False
194,FMC,.SPX,13.0,-54.04,30.769,0.751,False,False,False,False
195,FOX,.SPX,11.0,-161.79,18.182,0.236,False,False,False,False
196,FOXA,.SPX,10.0,-13.37,40.0,0.9,False,False,False,False
197,FRT,.SPX,11.0,-413.9,27.273,0.07,False,False,False,False
198,FSLR,.SPX,7.0,-137.73,28.571,0.434,False,False,False,False
199,FTNT,.NDX.SPX,8.0,-118.44,25.0,0.634,False,False,False,False
200,FTV,.SPX,9.0,-156.051,11.111,0.387,False,False,False,False
201,GD,.SPX,9.0,13.44,55.556,1.185,False,False,False,False
202,GE,.SPX,9.0,37.889,33.333,1.139,False,False,False,False
203,GEHC,.NDX.SPX,2.0,-9.24,50.0,0.752,False,False,False,False
204,GEN,.SPX,10.0,-11.87,30.0,0.933,False,False,False,False
205,GFS,.NDX,7.0,3.63,28.571,1.023,False,False,False,False
206,GILD,.NDX.SPX,7.0,129.99,71.429,5.49,False,False,False,False
207,GIS,.SPX,5.0,145.99,80.0,9.371,False,False,False,False
208,GL,.SPX,13.0,77.58,23.077,1.301,False,True,False,False
209,GLW,.SPX,7.0,-355.77,14.286,0.044,False,False,False,False
210,GM,.SPX,13.0,-479.33,7.692,0.064,False,False,False,False
211,GNRC,.SPX,11.0,-582.4,9.091,0.044,False,False,False,False
212,GOOG,.NDX.SPX,7.0,130.755,42.857,3.644,False,False,False,False
213,GOOGL,.NDX.SPX,7.0,269.386,71.429,14.741,False,False,False,False
214,GPC,.SPX,14.0,-53.37,35.714,0.809,False,False,False,False
215,GPN,.SPX,10.0,48.73,30.0,1.202,False,False,False,False
216,GRMN,.SPX,6.0,-136.25,16.667,0.005,False,False,False,False
217,GS,.SPX.DJI,8.0,61.28,50.0,1.496,False,False,False,False
218,GWW,.SPX,13.0,-272.78,15.385,0.191,False,False,False,False
219,HAL,.SPX,14.0,181.91,28.571,1.807,False,False,False,False
220,HAS,.SPX,9.0,-51.38,11.111,0.574,False,False,False,False
221,HBAN,.SPX,12.0,-448.65,16.667,0.055,False,False,False,False
222,HCA,.SPX,9.0,-145.11,33.333,0.322,False,False,False,False
223,HD,.SPX.DJI,9.0,-98.72,22.222,0.397,False,False,False,False
224,HES,.SPX,10.0,-322.28,10.0,0.106,False,False,False,False
225,HIG,.SPX,12.0,-113.99,33.333,0.384,False,True,False,False
226,HII,.SPX,12.0,-84.44,25.0,0.698,False,False,False,False
227,HLT,.SPX,9.0,7.83,55.556,1.034,False,False,False,False
228,HOLX,.SPX,13.0,107.36,38.462,1.705,False,False,False,False
