Stock,Belongs,Number of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
WMB,.SPX,12,429.66,41.667,3.425,,06/12,,22/12,35.14
WMT,.DJI.SPX,11,33.94,45.455,1.243,,17/11,,08/08,156.04
WRB,.SPX,13,85.6,23.077,1.471,,28/09,,06/10,64.23
WRK,.SPX,6,-14.29,16.667,0.897,,,,,
WST,.SPX,9,139.65,33.333,1.955,08/11,18/08,29/11,,348.92
WY,.SPX,5,-189.18,0,0,,,,,
WYNN,.SPX,10,-227.76,30,0.51,,,,,
XEL,.SPX.NDX,8,-58.75,25,0.613,,,,,
XOM,.SPX,8,103.4,37.5,1.976,18/12,17/08,28/12,,100.19
XRAY,.SPX,10,15.74,40,1.124,,,,,
XYL,.SPX,8,-203.58,37.5,0.145,,,,,
YUM,.SPX,11,-57.52,36.364,0.747,,,,,
ZBH,.SPX,15,289.821,46.667,2.001,,,,,
ZBRA,.SPX,9,-252.81,0,0,,,,,
ZION,.SPX,16,61.93,25,1.169,03/11,,,,33.23
ZM,.NDX,10,-463.41,20,0.256,,,,,
ZS,.NDX,13,441.51,38.462,2.222,,04/01,,08/01,218.1
ZTS,.SPX,13,-54.03,30.769,0.816,,,,,
QQQ,ETF,11,-135.88,27.273,0.344,,,,,
VOO,ETF,14,-137.9,21.429,0.257,,,,,
DIA,ETF,13,-80.68,23.077,0.494,,,,,
