Stock,Belongs,Number of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,,,,,,,,,,,,,,,
CLX,.SPX,11,200.61,45.455,3.113,07/11,,29/11,,,,,,,,,,,,,,,,
CMCSA,.SPX.NDX,9,187.86,55.556,3.621,11/10,,20/10,,,,,,,,,,,,,,,,
CMG,.SPX,10,377.26,50,2.385,,,,,,,,,,,,,,,,,,,
CMI,.SPX,11,239.51,45.455,2.412,04/11,05/08,,30/08,,,,,,,,,,,,,,,
CRM,.DJI.SPX,13,139.17,38.462,1.479,10/10,,14/10,,,,,,,,,,,,,,,,
CTRA,.SPX,8,208.93,37.5,1.8,,,,,,,,,,,,,,,,,,,
CVX,.DJI.SPX,9,408.84,44.444,4.472,,04/10,,10/10,,,,,,,,,,,,,,,
CZR,.SPX,18,216.9,16.667,1.297,,,,31/08,,,,,,,,,,,,,,,
DAL,.SPX,14,435.78,35.714,2.006,,,05/12,,,,,,,,,,,,,,,,
DGX,.SPX,15,443.86,60,3.937,,27/07,,,,,,,,,,,,,,,,,
DLTR,.SPX.NDX,12,207.04,50,2.04,,,,,,,,,,,,,,,,,,,
DVN,.SPX,8,235.18,25,2.602,12/10,03/08,30/09,,,,,,,,,,,,,,,,
DXCM,.SPX.NDX,16,224.518,31.25,1.632,21/10,23/07,,11/08,,,,,,,,,,,,,,,
ECL,.SPX,9,119.41,44.444,3.809,03/11,29/07,04/12,09/08,,,,,,,,,,,,,,,
EMN,.SPX,14,247.07,50,3.253,31/10,01/08,04/12,11/08,,,,,,,,,,,,,,,
ES,.SPX,12,138.07,41.667,2.606,11/10,28/07,13/10,24/08,,,,,,,,,,,,,,,
ETR,.SPX,10,123.65,40,1.899,,,,,,,,,,,,,,,,,,,
EVRG,.SPX,13,296.31,30.769,3.573,,18/12,19/10,28/12,,,,,,,,,,,,,,,
EXPE,.SPX,9,190.02,33.333,1.749,04/11,,,,,,,,,,,,,,,,,,
EXR,.SPX,18,207.1,27.778,2.011,12/10,,18/12,,,,,,,,,,,,,,,,
GILD,.SPX.NDX,8,129.99,62.5,5.49,31/11,,18/12,,,,,,,,,,,,,,,,
GIS,.SPX,7,189.88,71.429,11.888,12/10,,13/10,,,,,,,,,,,,,,,,
GOOG,.SPX.NDX,9,99.813,44.444,1.968,,02/01,,08/01,,,,,,,,,,,,,,,
GOOGL,.SPX.NDX,8,263.024,75,6.32,,02/01,,08/01,,,,,,,,,,,,,,,
HAL,.SPX,15,181.91,26.667,1.807,,22/09,,28/09,,,,,,,,,,,,,,,
HOLX,.SPX,14,150.26,42.857,1.987,22/08,08/01,28/11,09/01,,,,,,,,,,,,,,,
HSIC,.SPX,11,148.18,45.455,1.736,,,,,,,,,,,,,,,,,,,
HST,.SPX,11,191.18,54.545,2.121,,,,,,,,,,,,,,,,,,,
HUM,.SPX,12,239.91,50,3.019,,,,,,,,,,,,,,,,,,,
HWM,.SPX,11,316.97,36.364,2.261,03/11,,29/11,,,,,,,,,,,,,,,,
IBM,.DJI.SPX,12,290.25,41.667,5.29,30/10,,29/11,,,,,,,,,,,,,,,,
ICE,.SPX,11,345.79,45.455,3.902,,07/09,,13/09,,,,,,,,,,,,,,,
INCY,.SPX,9,455.73,44.444,3.993,,18/12,,,,,,,,,,,,,,,,,
INTC,.DJI.SPX.NDX,10,178.26,40,1.979,30/10,16/09,,,,,,,,,,,,,,,,,
IPG,.SPX,14,196.14,50,1.62,,,,,,,,,,,,,,,,,,,
IR,.SPX,18,297.68,33.333,1.928,03/11,05/01,29/11,10/01,,,,,,,,,,,,,,,
IRM,.SPX,11,215.37,54.545,2.427,,05/01,,,,,,,,,,,,,,,,,
IVZ,.SPX,10,125.82,50,1.841,,,,,,,,,,,,,,,,,,,
KMX,.SPX,8,297.94,37.5,1.868,,22/12,,,,,,,,,,,,,,,,,
LDOS,.SPX,10,341.1,60,5.473,,,,,,,,,,,,,,,,,,,
LHX,.SPX,10,196,50,6.532,10/10,28/07,29/09,,,,,,,,,,,,,,,,
LNC,.SPX,10,221.08,30,1.837,,,06/09,,,,,,,,,,,,,,,,
LULU,.NDX,15,463.17,60,2.69,,,,04/08,,,,,,,,,,,,,,,
LUV,.SPX,12,236.33,41.667,1.747,,,,,,,,,,,,,,,,,,,
LVS,.SPX,8,116.67,50,1.543,01/09,10/01,06/09,,,,,,,,,,,,,,,,
MAR,.SPX.NDX,12,162.25,25,1.655,29/09,,28/11,,,,,,,,,,,,,,,,
MKC,.SPX,12,257.865,66.667,2.292,,15/12,,27/12,,,,,,,,,,,,,,,
MKTX,.SPX,12,147.97,41.667,1.991,19/08,,25/08,,,,,,,,,,,,,,,,
MMM,.DJI.SPX,6,186.41,50,6.275,,05/08,,29/08,,,,,,,,,,,,,,,
MO,.SPX,12,101.13,41.667,1.923,10/10,,20/10,,,,,,,,,,,,,,,,
MOH,,12,235.18,41.667,2.571,,19/12,,02/01,,,,,,,,,,,,,,,
MRK,.DJI.SPX,9,169.535,44.444,3.177,10/10,,19/10,,,,,,,,,,,,,,,,
MRNA,.SPX.NDX,13,265.07,30.769,1.821,22/08,,06/09,,,,,,,,,,,,,,,,
